,content
24,"크롭 하고보니 출마하시는 분 같길래(...)
그리고 항공사에 기장 모자 들고 계실 것 같길래(...)
~ 수트 입은 오빠가 너무 좋아 일 하기 싫은 한정판 ~ pic.twitter.com/ZiaJ7V0iqB"
25,스케줄 왜이럼   독점도 풀렸는데 다른 항공사 언제취항해..? 분명 에어부산도 작년인가 된댔는데 
26,"#BBMAs  #BBMAsTopSocial EXO #BBMAsTopSocial @weareoneEXO 

남쪽의 마라처돌이 에리분들은 꼭 가셔야 할 식당입니다  부산-라라관  얼마나 맛있냐면 혼자 당직오프때 비행기타고 내려가서 이것만 먹고올계획을 짜는중이랍니다 항공사 마일리지 부산에 다 털어~~~~~~~~~~~

사진은 부산원아페 카이 pic.twitter.com/akmnA2fP9b"
27,항공사 모델 시켜주라   
28,"항공사 모델 필요없으신가요
이정도면 그냥 기장인데요,, "
29,이거보고 약간 항공사 모델 생각났고 ..  pic.twitter.com/nSESw8vwYu
30,언니가 출장 같이 와 줌. 항공사 직원인 언니는 기동력 발군. 어제 인천에서 같이 만나 방콕 도착. 덥다.. 더워.. pic.twitter.com/KUT0qWkimS
31,"항공사는 아시아나 뿐이므로, 아시아나항공의 보잉 767-300시리즈라는걸 알수있습니다 ' `"
32,"2터미널 진짜 한적하다
1터미널과 아예 다른 공항 같음
항공사 이쪽으로 제법 옮겨야겠다 이거 pic.twitter.com/Kfey9iyk6G   인천국제공항 (Incheon International Airport - ICN)에서"
33,"항공사: 중앙항업
레지넘버: HL5119
기종: 볭기 "
34,"항공사: 자연
기종: 파리
레지넘버: 애애애애애애애애애앵
항공편명: 애-앵 "
35,"항공사: 법사네
기종: 빠-쓰
레지넘버: N/A "
36,하 ...... 항공사 놈들이 제일 나뻐
37,오늘 귀국하기로 했던 친구가 연락이 안됌. 그쪽 교통편 이상이나 비행기 연착이나 뭐 기타등등 이유가 있을 수 있으니 우선 오늘까지 기다려보고...어디다 연락해봐야 하나? 마지막 경유지 호텔? 아님 항공사 예약티켓 변경여부 확인해야 하나?
38,"국내항공사 지상직 공채, ""현재 내가 가장필요한 준비는?"""
39,헐 나 항공사 등급 올랐어 장점이 은근 많군요...히히히히
40,"[공감신문]토픽코리아 국제항공운송협회(IATA)항공사승무원, 항공물류 내일배움카드 원격교육 도서이벤트 진행 http://blog.naver.com/topikkoreablog/221520673686  "
41,"니들은 고객이고 우린 빠수니고... 
그래서 너네는 항공사에서 누릴꺼 이상을 누리고... 우린 빠수니라.....다 안대... 나도 고객이야.. 근데 소속사가 뭔데 나불대 플디 스텝 존나 에바야"
42,"레고님 ~~
항공사 팔로워가 즐거워하겠어요
저는 절대 아미에 최적화된 체력이 아닌..
어떻게든 힘내 볼게요
레고님도 기운 팍팍~~

#BBMAsTopSocial BTS 
@BTS_twt"
43,"항공사들이 숨겨둔 비행기 꿀 좌석 
 "
44,"""여직원은 힐 신어야"" 노르웨이항공 복장 규정, 성차별 논란 [자료사진]
https://www.yna.co.kr/view/AKR20190422145900098?input=tw  

노르웨이의 저가 항공사이자 최대 항공사인 '노르웨이항공'이 성차별 논란에 휩싸였다고 현지 언론이 최근 보도했습니다 "
45,"한국당 정유섭 의원, 항공사 30억 투자하고도 직무관련성 심사 누락 http://news.kbs.co.kr/news/view.do?ncd=4170662&ref=D   pic.twitter.com/xRowiAuozl"
46,"#국토교통부 는 지난 4.12일 #대한항공  #아시아나항공 경영진을 초치하여 개최한 긴급 항공안전점검회의에 이어 오늘부터 #항공사 의 정비, 운항, 인력, 제도 등 안전전반에 대한 취약요인을 개선하고, 사고예방을 위해 마련한  항공안전강화방안 을 시행합니다.

http://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=1&id=95082174  "
47,"정부, 항공업계 혼란 다잡는다  항공사 긴급 점검 http://bit.ly/2S9v1k5  #shop: http://bit.ly/2RXgZlo "
48,"일잘한댜

국토부, 국적 항공사 보유 항공기 400대 긴급 안전점검 (출처 : 서울신문 | 네이버 뉴스) http://naver.me/5QfmYKEM "
49,"여성으로 특정되는 사람이 하루나 이틀 전에 항공사 이용 중에 받은 부당한 경험을 이야기하자 어떤 사람이 익명으로 계정을 급히 만들어서 ""내가 <방금> 전에 너를 보았다. 너도 잘못이 있다.""고 말하는 것을 봤다....여성에 대한 차별을 조장하고 악의를 표현하는 인간을 보면 일단 저는 신고를 해요"
50,"3분 남기고와서 맨날 항공사에서 더보이즈 멤버들 라스트콜 부르게 할거면 유명 가수처럼 전용기 타세요.
#더보이즈 #크래커 #theboyz #creker @Creker_THEBOYZ  @THEBOYZJAPAN  @WE_THE_BOYZ"
51,"주식투자로 수억을 번 이재명은 괜찮고 주식투자로 천억을 넘게 땡긴 촬스가 출마해도 문제없고, 국회의원이 소형 항공사 대주주가 되도 문제없고, 근데 25퍼 주식투자 말아먹은 사람은 또 안된다."
52,"대한민국 현역 국회의원이 항공사 최대주주가 되는 사상 초유의 일이 벌어졌다. 

#자유한국당_정유섭_항공사_오너 #코리아익스프레스에어 
#국회의원재산 #공직자윤리법 #재산신고말고_검증은 #아이엠피터TV 
https://youtu.be/1bCRAbSR1jU "
53,"조양호회장은 문재인 횡포로 
대한항공 경영직을 뺏겼고 
어제 별세했다.

대한민국을 잘살게 만든 5대기업은?
현대,삼성, 럭키, 대우,한진.

한진그룹 조중훈회장은 육.해.공을 
아우르는 운송부분 회사를 창업했고
그의 장남 조양호 회장은 선대회장이 못다한 꿈의 세계적 항공사 KAL을
만들었다"
54,"헐.. 김의겸 대변인 수사는 총알
자한당 국개들 공문서 위조해 부동산
투기.통영 정점식 기자 돈 매수
채용비리 성태 홍문종 교활  정유섭 항공사 최대주주. 김학의 시건 핵심 곽상도 황교활등
수없이 만은데 수사는 깜깜
청와대 탄압은 처음 본다
해골찬 때문이다 사퇴해라https://news.v.daum.net/v/20190404123602502?rcmd=rn&f=m  "
55,"[단독]한국당 정유섭 의원, 30억 투자해 항공사 최대주주 됐다 https://news.v.daum.net/v/20190401090201932   알량한 권력을 이용한 투자인지 투기인지 밝혀야하지 않을까 싶다.친일수구꼴통 집단은 무슨 짓꺼리를 해도 괜찮고 흔히 말하는 진보 정부는 티끌하나라도 흠이 있으면 안된다는 추악한 논리 결코 용서할수없다"
56,"#한국성평등지수가 2018년 기준 115위가 과연 맞는 통계인가 궁금해졌다!
그리고 #우리나라 대표 항공사가_
1. 여승무원에게 새치를 허용하지않는 것이 진실일까?
2. 여승무원에게는 남승무원에게 허용하는 안경을 불허한다고?
3. 여승무원에게 유니폼 사이즈를 55/66 두가지만 제공한다고?
4. 여승무"
57,"대형 항공사 파산 수준, LCC 약진, 정부 진입 규제가 만들어 놓은 계산 공식 http://blog.naver.com/dvkim09/221520434333  "
58,"당장 떠오른 설정 (확정 x)
1. 대부호 집안, 스카이랜드 1위 항공사 운영.
2. 어렸을 때 해적에게 납치 당한 거 세라 어머니(해적 시절)가 구해줌.
3. 블루 스푼 호텔 주주(투자자) 1순위 
4. 세라가 어릴 때부터 알고 지낸 사람 (세라보다 10살 연상), 어머니의 해적 시절이야기는 이 사람한테 들음."
59,"정부개입하지마라란 댓글에

11분전

댓글을 달때도 생각을 좀 하고 적자 이게 어떻게 정부가 개입을 안하냐 이제 곧 성수기온다 다른항공사에서 감당 되겠냐? 산소호흡기   영화나 드라마만 보지말고 책도 좀 읽어라

https://news.v.daum.net/v/20190423083311987?f=m  "
60,큰 장 열린   운수권 배분에 항공사들 총 집결 http://chosun.com/tw/?id=biz*2019042201609  
61,항공게임지식 1.페이스북에는 에어라인 매니저라는 게임이 있습니다.기체도 도입하고 연료도 사고 노선도 돌려서 직접 항공사를 경영하는 게임입니다. http://apps.facebook.com/airline_manager/  
62,항공사는 제외해야겠고 비행기 번호가 '007'같이 붙은 걸로
63,[EVENT] 엘포인트로 항공사 마일리지 전환하는 방법! (대한항공/아시아나  ) (출처 : 엘포인트 .. | https://blog.naver.com/lpoint_korea/221514302626   블로그) http://naver.me/5O47Oxsa 
64,"[항공소식] 노르웨지언, 여 승무원 굽낮은 구두 신으려면 의사 소견서 지참, 6개월마다 갱신 https://airtravelinfo.kr/xe/happening/1319288  
결국 의학적 문제가 있을 경우에만 낮은 굽 허용한다는 얘기인데.. 흠.. 유럽에서 이런 드레스코드 룰을 적용하는 항공사가..."
65,190이상은 항공사측에서 이코노미 탑승반대해야되는거아니노 이분은.....이코타면안됩니다 해주세요
66,"항공사가 자신의 비용을 절감하기 위해 거래상 열등한 지위에 있는 여행사들에게 특정 예약시스템 이용을 강제했습니다. #여행사들은 의사결정 자유가 제한됐고 금전적인 불이익을 감수해야만 했습니다. 공정위는 #아시아나항공(주)를 제재했습니다. #공정거래법
https://blog.naver.com/ftc_news/221516727925   pic.twitter.com/koTS1ZiT0f"
67,아사냐 진짜 괜찮은 항공사에다가 한 때는 사이즈만 작았지 땅콩보다 나은 평가 받은적도 있는데 삼구가 그룹 경영 말아먹고 비행기도 제때 못사고 똥비행기화 되고 서비스 품질 나날히 꼬라박고 (한때는 일본 플래그 캐리어들보다 나은 평가 받던 시절도... 흑흑) 화룡점정으로 기내식 파동까지...
68,"대한항공은 늘 그런 식입니다. 저희 애 데리고 대한항공 탔을 때, 이코노미 제일 앞 벌크헤드 좌석에서 아이가 울고 보채니까 비즈니스 좌석 승무원이 다급하게 오더니 저희에게 애를 데리고 뒷쪽으로 가라더군요. 비즈니스 손님들 불편해 하신다고. 기가 막히는 항공사입니다."
69,"미국에서 유학중 아버지 조중훈 회장이 아들을 군에 보냈다 조중훈 회장은 월남에 까지 참전을 했고 외환위기때는 비행기를 팔아서 위를 넘긴 애국자다
대한항공은 빛더미 회사를 억지로 떠맞아 대한항공이란 이름으로 세계에 알렸다
이런분이 항공사를 빼았겼으니 얼마나 울화병이 났을까 pic.twitter.com/S7LrhN8zu6"
70,"로젠바우어 판터

중량50t
최대속도130km
원격조종크레인탑재
방수거리 95m

항공사고등 대형화재 진압용으로 만들어진 차량

국내에 6대 보유 "
71,"더불어민주당 김철수 시장

속초 불바다 위기 때 
시장은 제주도 여행 중,

산불 난지 15시간 만에 
이튿날 첫 뱅기로 왔다.

뱅기표가 매진 되어서 
빨리 못 왔다고?

항공사마다 비상시를 대비한 
자리는 항상 마련해두고 있다.

국민이 개돼지냐
그것도 모르게? XX늠아!

*
http://www.newdaily.co.kr/mobile/mnewdaily/article.php?contid=2019040600004  "
72,"여행 예약관련 이름 수정을 하기 위해 AirAsia 항공사랑 라이브 챗을 하던 중,

(정황상 아밍아웃 후)
직원: 정국(Kookie)한테 안부전해주세요
요청대로 이름 수정했고, 여행 예약사항 이메일로 보냈으니 10분 후 확인해주세요

아미: 하하하 그럼요.  아미 친구, 고마워요"
73,"곧 깜빵 갈 곽상도 꾹 수석
사퇴하래  . 언론 인제 윤도한
수석 씹고 뜯고 하면서 꾹 수석
사퇴하래. 울 대통령 대구 방문
방송 안 해놓고 경호원 문제 도배
좌우 시민단체 초청 방송 안 하더니
또 청년의 눈물로 똑같이 도배 
박   확성기 160억 삥뜯은 것
정유섭 항공사 3억 투자 최대주주
패싱"
74,"[단독]한국당 정유섭 의원, 30억 투자해 항공사 최대주주 됐다 | 인사혁신처 주식백지신탁 심사위원회에 직무관련성 심사 9개월 넘도록 안받아. 사실상 몰래 불법 취득 경위 조사해야. 조선일보 새끼들 보도하는거 봐라! 최대주주 됐다네! 이런것도 기자라고... https://news.v.daum.net/v/20190401090201932  "
75,"공영방송 kbs 기자님들
자한당 정유섭 항공사 30억 투자
최대주주가 되었고 보궐 통영 자한당
정점식 후보 최측권 지역신문사 매수하다
선관위 고발된 건 방송 안 하나봐요
민주당 같음 선거 끝날 때까정 도배하고
나베 헛소리 도배 했을 텐데. 국민 학살
한 자한당 벙죄는 덮고 민주당 죄없어도
도배"
76,"요새 계속 비행기가 이상하게 날다가 추락하는 꿈을 꾸는데 오늘은 비행기가 내 머리 위를 스치고 옆으로 떨어졌어,, 같은 도시에서 같은 항공사의 비행기가 3번이나 추락하면서 내 주위를 덮침 대체 왜 이런 꿈을 계속 꾸는 걸까    너무 무서웡"
77,"집에다찾아봤는대난없어요   미안해요 https://youtu.be/GOKigC46pxQ 
이런방법은있더라구요누님"
78,아 아 아 호그와트 항공사 라이벌 파일럿인 드레이코랑 해리 보고 싶어
79,마자 어제 항공사에서 비행기 왕복 얼마하나 찾아봤는데 수화물 15키로인가 10키로 정도하니깐 23만원 정도야 어케 개싸
80,"         너무 재밌어갖궄         
덕후여행 공식 항공사 전속모델      
겁나 귀여워  으퓨뷰  
지금 떠나자!! 내 안의 상하이!!! pic.twitter.com/OUjfe8OSB0"
81,"고인의 명복을 빕니다
그러나 거대기업인 대한민국 국적항공사를 소유한 오너일가의 인성이 쓰레기인것은 그냥 놔둘수 없는 일입니다

하늘길 열었던 45년 순수한 열정  마지막 하늘로의 비행 [조양호 회장 영결식] (출처 : 파이낸셜뉴스 | 네이버 뉴스) http://naver.me/x5hE9lOh "
82,"우리나라 항공사들 웃긴다. 
오너들이 사라지자 주식 폭등이라니~
대한민국 재벌들의 오너 리스크는 이미 세계적인 인식이군.. 
문제는 그들의 타락과 무능이지.. 
전 세계가 찢고 뜯고 씹어돌리는 1%한국 재벌들의 타락 실상은 눈 뜨고 못 볼 지경.. 공동체를 버린자는 스스로 타락하고 멸망하는 거지"
83,"""다만 항공부문은 관련법으로 외국인이 국내 항공사를 경영할 수 없도록 엄격히 제한하고 있어 해외자본 참여는 사실상 불가능하다.""

Emily Lee Cho: ????
https://news.v.daum.net/v/20190415094604602?f=m  "
84,"#자유한국당_정유섭
입법기관에 근무하는
자가 법을 몰랐다?
나는 되고 너는 안되는
뻔뻔자한당 행태

지난해 6월 소형항공사 주식 #30억원 매입..
#49% 지분 보유 

인사혁신처 직무관련 심사 받지 않은 사실 드러나 

  ""비상장 주식, 심사 필요 없는 것으로 잘못 알아""

https://news.v.daum.net/v/20190401160600101  "
85,"이미선 후보자가 주식거래한걸 결격사유라고 지랄발광들을 한다고?
그럼 하나만 묻자.
현역 국회의원이 수십억 들여 항공사 1대주주된것은 문제없나?
답하시오, 정모의원!"
86,아시아나 적자 항공사로 문닫기 일보직전인 아시아나에게 힘을보태주고 은행에서 돌려막기 해주는지 수사해라 에먼 대한항공 대표만 죽음으로 몰고갔으니 존같은 정권일쎄
87,'나도 타보고 싶다!' 세계 최고의 퍼스트클래스 항공사 TOP 10
88,"https://youtu.be/opJMlNfEfeQ 

우리나라 항공사들 진짜 극혐이다..
외항사들은 다이어트 안 함
오히려 건강을 선호함
승객들 지키는데 몸매가 왜 중요해??"
89,결제하기전에는 위탁수하물에 대한 내용이 써져있었는데 결제하고 나니까 위탁수하물 자세한 사항은 항공사에 문의하세요로 바꼈어요...자기들은 잘못이 없는데 고객님이 기분이 상하셨으니 얼마만 배상해드릴수있다고...지금생각해도화나요8 8
90,"          ^^

      여행사<   > 

      항공사<   > 

      제작사<   > 

        음반사<   > 

^^
 #     "
91,항공사에 물어봐주세요(?
92,"태원유진 라운지에서  
-송실장님, 귀 좀. 
-무슨 일이십니까. 
-저기 조식 코너 부페인데 뭐라도 먹고 가세요(소근) 
-..라운지는 항공사 고객들을 위한 겁니다. 
-그럴 줄 알고 방금 송실장님 주머니에 크로와상 넣어놨어요(소근) 
-"
93,"한국당 정유섭, 항공사 30억 투자로 최대주주 직무관련 심사누락 https://www.nocutnews.co.kr/news/5127546 

지들과 일본이 하면 괜찮은데 우리는 안된다는 #토착왜구. WTO에서 우리가 일본에 승소한 걸 좋아하는 토착왜구는 없었다. 또 이렇게 중요한 뉴스가 그냥 묻히는 건지. 이미선 보다 훨씬 더 심한데."
94,"졸지에   에서 급사한 조양호  ,좌파정권의 재벌해체론에 광란에 일격을맞고 쓰러지고 말았다.굴지의 항공사로 키워온   경영인을 잃고말았다.이사직 박탈은 경영일선에서 쫓아낸것이며 그를 허탈감에 빠지게해 죽음에 이르게 한것이다.앞으로   해체가 본격화될수록 이같은   이 있을것이다 "
95,"어느 항공사든 비상사태에 대비한 예비좌석을 둔다. 
정부의 급한 출장. 응급환자 수송, 등등 
속초시장이 화재소식 직후 바로 공항에가서 상황설명하면 분명 좌석나온다. 
이도 안되면 국가재난사태에 승객에게 좌석양보 부탁하면 안들어줄 승객이 있을까? 
결국 안일한 대응이였다.

내생각 "
96,이건 경찰 정복이지만 항공사기장 역할을 맡아도 어울릴 것 같다. 파일럿 필모 주세요. (http://m.blog.naver.com/pacifism_/220382114882  )
97,"최교일이 스트립바간거 그럴수 있다던 , 자한당 인천 정유섭이도 항공사 3,000,000,000원( 30억)어치 주식사서 항공사 대지주 됐다고 신문에 나오더만..."
98,"https://entertain.v.daum.net/v/20190410115650322?f=m  
얘는 웃긴게 DC 대한항공 직항 놔두고 굳이 JFK 가서 갈아타면서 조용히 들어갈거면 외국 항공사를 타든가 대한항공 비즈니스 타면서 조용히 가는게 가능할거라고 생각하나      대한항공 A380 비즈니스는 2층에 따로 있어서 그런가          "
99,"친일반역자 정유섭이가 최대 투기꾼이군!
국회의원 신분으로 어떻게 항공사 최대주주가 될수가 있나? 막대한 거액은 어디서 낫냐?
유섭아 해명해봐라?
어디서 낫냐?
은행장이 친구냐?
어디서 삥 뜯은거냐!"
100,"정유섭 의원, 항공사 30억 투자로 최대주주..직무관련성 심사 누락 https://news.v.daum.net/v/20190401164904028   심사 필요한지 몰랐다?     자한당것들은 다 저모냥.. 쓰레기들"
101,"[단독]한국당 정유섭 의원, 30억 투자해 항공사 최대주주 됐다 https://news.v.daum.net/v/20190401090201932  

투기꾼 정유섭을 잡아라
1.권력을 이용한 투자인지 투기인지 밝혀라
1.직무와 관련 이해상충 여부 밝혀라
1.국회의원이 이재에 밝으면 국민 눈높이에 맞지 않다. 의원직 사퇴하라"
102,"이것봐 이것봐 자유당은 잘못하고 사과 한마디면 그냥 끝?
정유섭 의원, 항공사 30억 투자로 최대주주..직무관련성 심사 누락 | 다음 뉴스 https://news.v.daum.net/v/20190401164904028?rcmd=rn&f=m  "
103,"좃선 왠열 자한당 정유섭
지난해 국내 소형항공사에 투자해
최대주주가 되었고. 현역 의원이
재직 중에 항공사 최대주주가 된
건 보기 드문 일이다. 총 재산은
62억2655만원. 김의겸 대변인
도배한 언론은 침묵

[단독]한국당 정유섭 의원, 30억 투자해 항공사 최대주주 됐다 https://news.v.daum.net/v/20190401090201932  "
104,"92년 4월 민주당 의원 시절엔 부인과 함께 김해공항의 대한항공 발권창구 앞에서 갑자기  이 XXX들 가만 두지 않겠다 는 폭언을 했다고 보도된 적이 있다항공사 직원이 예약을 착각하자 갑자기 화를 내며 소리를 질렀다는 거다. 

이해찬은 인성이          로 유명했음"
105,"[속보] 세상에서 제일 깜찍한 햄스터 비행기 탑승에 극진대우 잇달아...항공사 측, ""기내식으로 고급 치즈 종류별 구비"" "
106,"양대 항공사 무력화 시키고 현대, 삼성 그룹들 분해시키는 깊은 저의가 심히 의심스럽다. 20대 국회와 주사파정권의 집권통치가 시작되고 줄기찬 대한민국 각종 법 바꾸기가 그 결실을 맻어가고있다
주로 좌익정당들에 의해 최근까지 약 18000여개의 기존 법들이 국민들이 모르게 바뀌고 입안되고 있다 "
107,"전세계 어느 항공사 오너들이

딸년 애미가 물컵을 던지도 고함을 꽥꽥 지르는것도 모자라 직원폭행을 하냐?

가해자들이 처벌 받은자 아무도없어

미친 국토교통부 얼마나 더 얻어쳐맞아야 정신차리냐

 https://news.v.daum.net/v/20190327151056684?rcmd=rn&f=m  "
108,"우와 ... 이게 현실화가 되는구나   

참 모자란 사람이다...
가족 관리가 그 모양인데
...
되겠냐? 

이 참에 확실한 전문경영인 뽑아서 진정한 국적항공사로 만듭시다. 

조양호, 대한항공 경영권 박탈 반대 36%로 '연임안 부결'(종합) http://yna.kr/AKR20190327050251003?input=tw  "
109,"-보잉이 737 맥스 8 기종을 출시
-항공사들이 앞다퉈 구매
-초대형 인명사고가 잇따름
-알고보니 비용절감 때문에 제대로 된 테스트 및 피드백 과정을 거치지 않음
-구매취소 행진
-각 정부들이 해당 기체 운항 금지령
-다만 승객 없이 기지 이동은 허가
-기지 이동 하다가 엔진 고장(NEW!)"
110,"심야에 튀려고 외국 항공사 항공편으로 야반도주하려던 똥줄타는 쥐새끼, 강원도 절에 숨어 있다가 출국도피 시도한 특수강간범은 특수한 이름때문에 잡힌거라고            "
111,"누가 의자에 아미밤 놔두고 탑승해서 항공사 직원이 찾아줬음. 비행기를 들어오며 아미밤 놔두고 가신분!!하는데 다들 고개숙임..간접 수치플 체험            
그리고 아미밤 찾고 다들 박수 쳐줬는데 거의 여기 아미 단체비행기느낌인데   "
112,"일본 중앙부처의 간부, 만취 상태로 김포공항에서 항공사 직원 폭행. 알고 보니 이틀 전에도 난동 피우다 쫓겨났던 것으로 확인돼 pic.twitter.com/TbAn3Hjuyt"
113,"만취한 #일본인 이 #김포공항 에서 한국인이 싫다고 소리를 지르고 말리는 항공사 직원을 폭행하는 등 난동을 부리다 경찰에 체포됐습니다. 그런데 이 남성, 신원이 확인됐는데 일본의 간부 #공무원 이었습니다. https://bit.ly/2Cuxaln "
114,"40대 일본 남성, '만취 상태' 이유로 탑승 거부당하자 
항공사 직원 때려 입건.. 알고 보니 일본 정부 과장급 간부 pic.twitter.com/W7az66SJJA"
115,이렇게 편한 제로페이를 왜 안 쓰는지 궁금한 박원순 시장에게 제로페이를 1천원 쓸 때마다 항공사 마일리지를 3마일씩 적립해주면 아마도 금방 성공할 것이라고 알려주고 싶다. 그 재원은 어떻게 마련하냐고? 가장 쉬운 방법은 서울시민들에게 세금을 걷는 것이다. 화이팅. https://news.joins.com/article/23411977  
116,"사망한 7일 그날, 
한 항공사를 통해 일본행 항공편을 알아봤던 통화 내역이 새롭게 드러남
     
지인 왈
""자연이가 문건을 작성한 뒤 자신의 뜻과 달리 이 문건이 외부에 공개됐다는 얘기를 듣고 회수하려 했지만 여의치 않았던 것 같다 
""일본에 있는 김씨를 직접 만나 오해를 풀려 했을 가능성도 "
117,"현재까지 보잉 737 MAX의 운항을 중단한 국가들 리스트.
- 호주
- 중국
- 독일
- 프랑스
- 인도네시아
- 아일랜드
- 말레이시아
- 싱가포르
- 영국
- 네덜란드
-이탈리아
*한국은 Eastar Jet 항공사가 운항 중단 결정.
https://www.axios.com/boeing-737-max-ban-d3bc3254-f0fb-4261-b6e5-fd183ab709b9.html?utm_source=twitter&utm_medium=social&utm_campaign=organic&utm_content=1100  "
