,title,content
10,CNN :: 지금은 존재하지 않는 항공사들,"얼마 전, 아이슬란드 저가항공사인 와우 항공이 그 직전까지 예약 받아놓고 하루아침에 파산 선언하고 비행 스케쥴을 다 취소해버린 일이 있었다. 예약했던 사람들은 스케쥴이 꼬인 건 물론, 훨씬 비싼 항공편을 급하게 사야하는 상황에 놓였는데, 항공사가 이 정도로 무책임하게..."
11,승무원되는법 항공사 입사를 위한 tip!,"엘리지언트 항공사와 실습도 진행하고 있는데요. 졸업한 후에는 OPT자격을 취득할 수 있고 추가적으로 현장실습까지 가능해서 승무원에게 필요한... 그런데 네바다주립대는 국내, 외 항공사와 취업멘토링 과정을 통해 취업연계과정의 혜택을 받을 수 있다는 점도 좋았던 것 같아요. 거주 문제를..."
12,  5star 항공사의 비즈니스석은 어때요?,2010년 이래로 단 한순간도 '세계 최고의 비즈니스 클라스' 상을 놓쳐본 적이 없는 상부자 카타르 항공은 5 star 항공사답게 데드헤딩 크루에게... 항공사 수입의 대부분은 이코노미가 아닌 비즈니스에서 나온다. 가격이 2배 이상 차이나니 서비스가 다른 건 당연한 이치다. 좌석 퀄리티나...
13,"항공사협회 라운지, 말레이시아항공 비즈니스석",카운터에서 항공사 협회 라운지를 이용하라고 안내를 받았는데... 음... 아무리 외국 항공사라도 그래도 비즈니스석인데 이건 너무한 거 아닌가 싶은 -_- 주전부리할 것도 거의 없고 앉을 자리도 마땅치 않아서 어이가 없었다 __+ 귀한 분은 라운지 밖에 나와 복도(?)에서 뽀로로와 재미있게 놀았다는...
14,"인천공항 제2여객터미널 주차 , 항공사 , 푸드트립 책도 있네!","인천공항 제2여객터미널 항공사 는 어떤 항공사들이 있는지 궁금해 하실분들을 위해 검색해 봤는데요. 일단 가장 대표적인 대한항공!! 그리고 델타항공, 에어프랑스, 알리탈리아 KLM네덜란드항공, 아에로멕시코항공, 중화항공, 가루다인도네시아 항공, 샤먼항공, 체코항공, 아에로플로트 이렇게..."
15,[김용우의 갑을전쟁] 수염 기른 기장 vs 면도 요구한 항공사...법은 누구 편일까,항공사 기장인 C의 경우를 볼까요. 그는 턱수염을 기르고 있었는데 이는 청결한 상태를 유지해야 한다는 항공사의 용모규정에 어긋나는 것이었습니다. 그런데도 면도를 하라는 상관의 지시를 따르지 않고 취향을 고집했는데요. 결국 항공사는 C의 비행업무를 정지시켰고 C는 즉각...
16,출발 도착 시간 가장 안지키는 '느림보 항공사' 어디?,"시간 안지키는 항공사, 면면이다. 시간을 안지킨다는 건, 툭하면 지연되고, 늦어진다는 얘기니, 이 항공사 만큼은 피해야 한다는 것. 결론부터 말씀드린다. 항공은 이스타가 지연율 톱, 공항은 늘 붐비는 제주공항이 지연율 톱을 각각 기록했다. 짜증, '지대로'라는 의미다.   국내선 이스타..."
17,항공사 지상직 채용별 합격후기!,"아무래도 시즌이다보니 궁금해하실것 같아서 한번 항공사 지상직 채용별 합격후기를 작성해봤습니다. 여러가지 종류가 있지만 크게 나눈다면 대졸공채 일반직, 서비스인턴, GSA/GHA, 그리고 외항사까지 총 4가지 정도로 나눌수가 있는데요 일반직을 제외하고는 예약발권 업무를 담당하게되는 항공사..."
18,0411 Group Presentation: 항공사 스타트업 세우기(요르단),5주 동안 각 팀마다 항공사 스타트업을 차리기. 기종은 무엇으로 할 거고 풀서비스(FSC)이냐 저가항공(LCC)이냐 private jet이냐 어디로 취항할 거고... 저가항공사가 있음에도 불구하고 우리는 우리 모델로 타항공사와 경쟁하기보다는 수요가 많지만 아무도 취항하지 않는 곳으로 가기로 했다...
19,"스카이트랙스 선정, 세계에서 가장 깨끗한 항공사는?  ","스카이트랙스 선정, 세계에서 가장 깨끗한 항공사는?  상하이저널 세계 최대의 공항, 항공사 평가기관인 스카이트랙스(Skytrax)가 세계에서 가장 깨끗한 항공사 Top20위를 발표했습니다. 이번 조사는 각 국의 승객을 대상으로 항공사의 기내 좌석, 기내식 테이블, 카페트, 화장실 등의 위생..."
20,외항사 승무원 채용 인기 항공사 5곳은?,선호하는 항공사는 어디일까요? 2019년 네이버 검색 수를 기준으로 예비승무원에게 인기있는 외항사 다섯 곳을 꼽아보았습니다. 1. 카타르항공 국적 : 카타르 근무도시 : 도하 출처 : Qatar Airways 유튜브 버건디 컬러의 유니폼이 떠오르는 카타르항공은 1997년에 설립된 젊은 항공사입니다....
21,인천공항 탑승수속 카운터 항공사 국제선 국내선,"인천공항 탑승수속 카운터 항공사 국제선 국내선 우리가 해외여행을 하게 되면 가장 먼저 도착하게 되는 에어포트. 도착해서 일단 환전할 돈 찾고... 탑승수속 항공사 카운터. 오후 늦은 시간에 오니까 거의 아시아권으로 가는게 대부분. 이건 또 처음 알았다. 거의 다 동남아나 일본, 내지 가까운..."
22,직업방송-Do It Yourself 자기소개서 항공사/방송사,오늘 방송은 60회 방송으로 1부에서는 항공사 특집으로 2부는 방송사 특집으로 만들어져 그 방향의 진로를 가고자 하는 취준생들에게 많은 도움이 되었을 것으로 생각되었다 예전에 비해 항공사는 많이 늘어났다 예전 대한항공과 아시아나 항공만 알던 때에서 벗어나 저가 항공사와 외국계...
23,저가항공사 이스타항공(EASTAR JET) 이용기,"우선 첫 번째 글은 부산에서 제주로 갈 때 이용한 항공사인 이스타항공에 대해 얘기해 보겠습니다. 이스타항공은 2007년에 만들어진 저가항공사인데요. 이스타항공 외의 다른 저가항공사들 대부분은 기존의 대기업이 만든 항공사지만, 이스타항공은 다른 저가항공사들과는 다르게 개인이..."
24,기내식 맛집으로 소문난 항공사,"하지만, 항공사에서 제공하는 기내식의 경우 맛집으로도 손색이 없는 것은 물론 비주얼로도 그 퀄리티가 뛰어난 곳이 있습니다. 우리나라... 저가 항공사의 등장으로 기내식이 축소되거나 사라지는 경우가 있고 일부 항공사의 경우에는 별도 비용을 지불하고 기내식 구매를 해서 이용을 하는..."
25,"베트남다낭여행 준비, 저비용 항공사 다낭항공권 가격","대다수 저비용 항공사 취항 중 워낙 인기 있는 여행지다 보니 대다수의 국내 항공사들이 매일 취항합니다. #제주항공, #이스타항공, #진에어, #티웨이항공, #에어서울, #대한항공, #아시아나항공. 외항사로는 베트남 국적기인 비엣젯항공과 베트남항공이 수시로 운항해요. 경유편은 마카오를..."
26,"[언니의 조언] 당신이 감정에 빠져있을 때, 당신의 항공사는.. (다시 울고 싶지 않다면...","항공사에서는 역대급 지각 변동이 일어나고 있습니다. 대한항공의 변화, 아시아나의 매각과 구조조정은 단지 뉴스에 나오는 일이 아닌 !!! 재직 중인 모든 전 직원 그리고 그곳에 입사하고자 지원자들의 채용에까지 아주~큰! 영향을 미칠 수밖에 없답니다. 또한, 대형 항공사의 변화는 당연히 LCC..."
27,"ANA항공 일본 국내선 탑승 후기, 메이저 항공사인듯 아닌듯..?","메이저 항공사인듯 아닌듯..? 오키나와에서 이시가키를 가기위해 ANA항공을 탑승했습니다. 기내의 모습이나 서비스 등 낯설다..했었는데, 곰곰히 생각해보니 ANA항공 비행기는 처음 타보는거더라구요. 일본에서는 우리나라의 댄과 아샤나처럼 JAL과ANA가 양대 산맥처럼 크게 위치해 있는 항공사지..."
28,김해신공항_항공사 입장에서 본다면...활주로 짧고 경제성 낮아 '낙제점',"항공사, 김해신공항에 대해 '할말은 있으나...' 부울경의 제단체들이 김해신공항 반대 청원운동을 시작한다는 소식을 접하고, 운동본부가 반대의 근거로 내세운 7가지 사항에 대해 정작 공항을 이용해야 하는 항공사의 입장에서 보면 어떨까하는 생각이 들었다.. 항공사는 이러한 정부 정책에..."
29,조양호 이어 박삼구도 퇴진 나란히 물러난 항공사 맞수,박삼구 금호아시아나 그룹 회장 퇴진 선언 (PG)[정연주 제작] 사진합성 일러스트 20년 가까이 국내 양대 국적항공사를 이끌어온 수장이 하루... 계기로 직원들 사이에서 갑질 의혹이 제기됐다. 경영 경험이 없는 딸을 금호리조트 상무에 임명해 '낙하산' 논란을 일으키기도 했다. ***@***.**.** #항공사
30,기내식 '평가의 달인'이 꼽은 워스트 & 베스트 항공사?,"국적기는 묘하게 피해서 타는 바람에 '워스트&베스트' 기내식에 한국의 항공사가 없다는 점이다.(아쉬운 게 아니라 오히려 다행인 걸까?) 아래는... 닉은 이 항공사의 이코노미, 비즈니스클래스의 기내식에 대해서도 팬이라고 자처한다. 최근 도쿄에서 자카르타까지의 비행 중 비즈니스클래스에서..."
31,"항공사 조종사, 파일럿이 최고의 직업인 10가지 이유!","항공사 조종사, 파일럿이 최고의 직업인 10가지 이유! 전 세계를 비행하면서 돈도 벌 수 있다면 어떨까요? 파일럿은 너무나도 멋진 직업이에요. 저는 2010년부터 비행기를 조종해왔고, 이 직업에 대한 애정이 평생 가리라고 확신합니다. 파일럿이 왜 세상에서 가장 좋은 직업인지 오늘 제가 무려..."
32,승무원합격으로 이뤄낸 항공사 취업!,"여러분은 혹시 어떻게 준비를 해야 원하는 항공사 승무원으로 합격할 수 있는지 알고 있으신가요? 지금부터 승무원합격 비법과 과정을... 항공사는 대기업임에도 꼭 4년제 학위를 고집하지 않는 기업 중에 하나죠!! 항공사 취업이야 말로 학력, 전공에 구애 받지 않고, 좋은 인재라면 채용하는 방식을..."
33,2019 트립어드바이저 전세계 인기항공사 10선,대한민국 비행기는 전세계뿐 아니라 아시아 지역에도 없음 2019 #트립어드바이저 전세계 #인기항공사 10선 전 세계 최고의 항공사 - 트립어드바이저 Travellers  Choice 어워드 1 싱가포르 에어라인  싱가포르 에어라인의 높은 수준  lilyjvb  SQ와 함께하는...
34,"항공사 취업 : 죽기전에 승무원 하고싶다, 취준생추천도서",항공사 취업 이런 마음가짐 어떤 목표를 설정하든.  그 목표를 향해서 나아갈 수 있을 것 같아요.  이 책을 읽어보면.  작가는 얼마나 노력을... 더 노력해야겠지요?!?!?    지금은 교수님이셔요.  승무원 경력은 승무원을 준비하는 사람들에게는 꿈의 항공사라고 하더군요?! 저는 해외여행...
35,"그리고 즐겁게 이용한.... 필리핀의 항공사, ""Cebu Pacific Air""_20190412, 0419","항공사의 문제가 아닌 경우도 많다...그리고 서비스야... 지불한 금액 만큼 받으면 되는거 아닌가...??? 총평헤 본다면.... 이번에 처음 타본, ""Cebu Pacific Air""... ""괜찮았다."" 그런데...그런데...그런데...생각해보니.... ""세부 퍼시픽"" 이 나힌테 왜 이리 잘 해 주는거여...???인천에서 필리핀으로..."
36,"이용호 의원, '승객 무작정 기내 대기' 항공사 책임 강화하는  항공사업법...",최근 국내 항공사 이용자들이 좁은 객실 안에서 오랜 시간 대기하게 되는 상황이 계속 발생하고 있습니다. '장시간 무작정 기내 대기'는 현행법 위반에 해당할 수 있습니다. 현행 국토교통부 고시  항공교통이용자 보호기준 에 따르면 항공사는 승객을 탑승시킨 채로 지상에서 4시간을 초과...
37,"항공사 LA미주본사 근무중인 미국인턴 말하길, 하나부터 열까지 너무 좋습니다!","항공사 LA미주본사 근무중인 미국인턴 말하길, 하나부터 열까지 너무 좋습니다! 안녕하세요. 해외취업/해외인턴쉽 커리어매칭을 진행하는... 그중에 하나가 바로 항공사 지상직과 항공사 미주본사 근무 오프닝입니다. 경쟁이 치열하긴 하지만 준비만 잘 하면 합격할 수 있습니다.^*^ 합격의 노하우는..."
38,[여행꿀팁] 인천공항 터미널별 항공사 & 공항 노숙 명당,"[여행꿀팁] 인천공항 터미널별 항공사 & 공항 노숙 명당 안녕하세요. 천국나그네입니다. 여!기서 지금 행!복할 것. 여행을 출발했습니다~ 집을... 인천공항 터미널별 항공사 이용안내 <제1여객터미널> 아시아나, 제주항공, 진에어, 티웨이, 이스타항공, 에어서울, 그리고 기타 항공사 제가 알기론..."
39,"부산~싱가포르 취항, 여행사 / 항공사 현재동향!","항공사와 여행사의 동향을 알려드리겠습니다! 항공사는 현재, 실크에어는 오는 5월2일부터 부산~싱가포르 직항 노선에 주 4회 신규 취항합니다! 매주 화 목 토 일요일 오전8시 출발하여 현지시간 오후 2시15분에 도착하는 일정이라는 사실! 부산 시민들은 이제 싱가포르로 여행하기 위해..."
40,"봄바디어 CRJ550, 미국 항공사에게 50석 항공기가 필요한 이유?","미국에서 리저널 제트는 대부분 메이저 항공사들과 계약을 맺은 지역 항공사(리저널 에어라인)에서 운항을 하고 있습니다. 다시 말해, 사진 속 유나이티드 익스프레스 항공기처럼 메이저 항공사의 도색을 하고 있더라도 실제 운항하는 항공사는 스카이웨스트(Skywest) 등 지역 항공사인..."
41,항공사 마일리지 유효기간,"항공사별 마일리지 유효기간 체크하세요! 해외여행을 자주 다니시는 분이라면 각 항공사별 마일리지가 적립되어 있을 것입니다. 뿐만이 아니라 신용카드 사용에 따른 항공사별 마일리지 적립으로 인한 누적 마일리지도 있을테구요! 전 개인적으로 누적된 마일리지를 부산-서울, 부산-제주 같은..."
42,(외항사 면접준비) 외항사 자격증 캠브리지시험. 인정하는 항공사 리스트.,해외에서는 #항공사 #승무원/#지상직을 준비하는 사람들을 위한 어학 시험으로 널리 알려진 캠브리지시험. 오늘은 캠브리지시험에 대한 간단한 소개와 함께 캠브리지시험을 인정하는 항공사 리스트를 소개 해 드리도록 하겠습니다. 캠브리지시험은 (Cambridg Exam)은 영국 캠브리지대학의...
43,세계에서 가장 깨끗한 항공사 순위 공개! 국적기는 몇 위?,"세계 최대의 공항, 항공사 서비스 평가 사이트인 스카이트랙스(Skytrax)에서 '2018 항공사 청결 순위'를 공개했는데요. 영국의 항공 컨설팅 기관인 스카이트랙스는 객관적인 평가 기준과 전문적인 심사 과정을 거쳐 순위를 매깁니다. 이번 조사는 탑승객들이 직접 항공기 내 좌석, 기내 테이블, 바닥..."
44,대형 항공사들의 연료효율성 비교: TPI 연구보고서,"대형 항공사들의 연료효율성 비교: TPI 연구보고서 항공산업은 전 세계 이산화탄소 배출량의 2%, 운송 관련 배출량의 12%를 차지하고 있어 기후변화에 중요하고 빠르게 영향을 주고 있다. (The airline sector makes a significant and fast-growing contribution to climate..."
45,"[미라클 프로젝트/ 미라클 플라잉/ 꿈 아티스트] 싱가포르 항공사 합격생, 꿈 나누기...","미라클 프로젝트/ 미라클 플라잉/ 꿈 아티스트 싱가포르 항공사 합격생, 꿈 나누기, 재능기부 Experiences achieving my goals showed me that taking up challenges...   1) 싱가포르 항공사에 관심이 있다, 싱가포르 항공사 승무원이 최애   2) 국내 항공사 준비와 함께 외항사를 준비를 동시에! 3) 국내..."
46,"에어뉴질랜드(AIR NEWZELAND, NZ)항공사 22년만에 한국 재취항","#에어뉴질랜드 항공사가 한국으로 재취항을 발표했습니다. 2019년 11월 23일부터 주 3회 기존 대한항공의 독점노선이라서 항공요금이 유난히 비싼 구간였는데, 직항으로 2개 항공사가 경쟁을 하다보면 자연스레 요금은 내려가겠죠. 게다가 에어뉴질랜드는 스타얼라언스이다보니 해당..."
47,오만 저비용 항공사 살람 에어,살람~ (이슬람 나라의 인삿말) 오만 저비용 항공사 '살람 에어'를 타고 이란 쉬라즈로 갔다. 항공권 구매는 2개월 전에 했고 왕복... 호르무즈 해협을 건너고 있다. #오만여행 #오만항공 #오만한물가 #살람에어 #중동항공사 #살람 #머스캣공항 #무스카트공항
48,항공사 현직 멘토단 초청  항공일자리 기업 멘토데이  개최,"국토교통부(장관 김현미)는 현직 항공사 직원들이 멘토로 참가하여 자격증 취득, 이력서 작성, 면접 Tip 등 취업과정에서의 생생한 에피소드와... 6일 부터 국토교통부, 인천국제공항공사(사장 구본환), 한국공항공사(사장 손창완), 한국항공협회(부회장 조춘순)가 공동으로 운영하고 있습니다...."
49,<정보공개사회>에디오피아 비행기 추락기종 보유 항공사 확인방법-보잉 737...,이번 추락 사고를 유발항 항공기종  보잉 737 맥스 8  보유한 한국항공사와 전세계 항공사 리스트를 알고 자신스스로 판단해서 탑승유무를 결정해야 옳을 것이다. 이미 보잉사에서 동일기종 동일(유사)사고가 발생한 최신 기종이기에 그 심각성이 더하는 것이다. 개인들에게 이런...
50,"전세계 25개 항공사, 보잉 737-MAX8 기종 145대 운항 정지","25개 항공사가 동기종 145대에 대한 운항정지 결정을 내렸다. 보잉 737-MAX8 기종은 보잉의 737 패밀리중 최신의 기종으로, 737 원형은 50년 이상 전세계 항공사에 의해 운항중인 베스트 셀러 기종이다. 단일 복도를 가진 동체로 비교적 소형 기종이나, 그만큼 수요도 많아, 1968년 첫 상업..."
51,2019 베스트 항공사... 안전과 서비스 좋은 항공사는?,세계에서 가장 안전하고 서비스가 좋은 항공사는 어디일까? 항공사 서비스 평가 업체인 에어 라인 레이팅스 닷컴이 2019년 세계 최고 항공사 선정 결과 싱가포르 항공이 1위를 차지한 것으로 나타났다. 2위는 지난해를 포함해 과거 5년 동안 평가에서 연속으로 1위에 올랐던 뉴질랜드 항공이...
52,티웨이 / 에어서울 항공사 면접 준비 짧게 제대로 준비하기,"국내 항공사들이 2019년에도 대규모 채용을 예고했기 때문인데요, 특히 새로운 저비용항공사(LCC) 3곳에 면허를 내주면서 항공업계 채용이 더 커질 거라 예상됩니다. 오늘은 LCC항공의 대표적인 티웨이항공, 에어서울 채용에 대해 소개해드리려고 합니다. 티웨이항공과 에어서울은 곧 서류 마감되며..."
53,"항공사 객실승무원, 정비사 취업을 위한 학점은행제 전문 학사 온라인취득","오늘 저희 학습설계팀에서는 객실승무원 등 국가 항공사 객실승무원 준비를 위해 학점은행제 전문학사 학사 취득하시려는 학우님들을 위한 시간을 가져보겠습니다. 항공사에는 객실승무원만 있는 것이 아니죠 다양한 직군의 승무원, 정비사가 있습니다. 학점은행제는 취업을 위한 기본 발판이 될..."
54,2019 에어아시아 혁오 - 이미 아시아에서 제일 싼 항공사,"에어아시아는 자신들을 스스로 저비용항공사 업계의 왕이라고 부르기를 주저하지 않는데, 그 명성에 비해 대한민국 안에서는 그 자랑스러움이 제대로 어필되지 않고 있다는 나름의 조바심 같은 게 있었던 것 같다. 최고이며 최다를 말하는 건데 왜 이렇게 여유가 딱히 없어보인다는 느낌을..."
55,"항공사 마일리지 적립(대한항공, 아시아나)","#마일리지, #대한항공, #아시아나, #스카이팀, #스타얼라이언스, #마일리지적립 요즘 저가 항공사 노선이 확대되면서 사실 마일리지 적립이 쉽지 않으나, 나의 마일리지 적립 방법을 소개한다. 국내에서 주로 다닌다면 두 가지 정도만 알면 된다. 대한항공 마일리지 대한항공+스카이팀+제휴항공사..."
56,절대 금지! 무조건 피해야할 세계에서 가장 위험한 항공사는?,"세계에서 가장 위험한 항공사는? 글로벌 항공사 평가 사이트인 에어라인레이팅(Airline Ratings)이 2019년 세계에서 가장 위험한 항공사 4곳을 발표했습니다. 전 세계 405개 항공사를 대상으로 국제항공기관과 정부 보고서, 사고 기록, 보유 항공기 연식 등 다양한 자료를 바탕으로 안전도 순위를..."
57,"한중 항공노선 확대, 저가항공사에 유리",한 중 항공 노선 확대  LCC(저비용항공사)에 유리 수혜  1노선 1항공사 정책 폐지  신규진입자에 우선 배분    한중 양국은 항공회담을 통해 운수권을 주 70회 늘리기로 합의했다. 전문가들은 이번 협상 타결로 FSC보다 LCC(저가항공사)가 수혜를 볼 것으로 분석하고 있다. 사진은...
58,"항공동맹체 : 스타얼라이언스, 스카이팀, 원월드_ 혜택 및 세계 10대 항공사","항공동맹체 혜택 : 스타얼라이언스, 스카이팀, 원월드 혜택 및 세계 10대 항공사 항공동맹체 - 스타얼라이언스, 스카이팀, 원월드 항공사들은 혼자 전 세계 노선을 커버할 수 없으므로 타 항공사들과 제휴 연합을 통해 부족한 노선을 보완을 하고 있습니다. 이렇게 제휴 항공사들이 모여..."
59,"청주국제공항, 거점항공사 에어로K 유치확정!","청주국제공항을 모기지로 하는 저비용항공사(LCC)인 에어로K가 3년간 두 번의 도전 끝에 국제항공운송면허 발급 심사를 통과했습니다. 국토교통부는 지난 5일 정부서울청사에서 에어로K 등 3곳에 대해 신규 면허를 발급 결정을 공표했는데요. 이로써, 4년 만에 새로운 항공사가 탄생하게..."
60,"휴가, 이 항공사는 피하세요! 승무원도 꺼리는 휴가철 항공사 톱7","휴가철, 소위 여행  선수 들인 항공사 승무원들도 꺼리는 항공사 리스트. 꼭 알아두시길. 여기는 피하는게 좋을거라옹~ 이 리스트는 언론사 뉴스투데이가 선정했고, 국내외 항공사 승무원 10명에게 익명으로 심층 인터뷰를 거쳐 얻어낸 결과입니다. 중국 동방항공 wikipedia 뉴스투데이 조언은..."
61,[뉴욕타임스 Travel] 어린이 여행객 위해 항공사들이 주는 어마어마한 혜택,뉴욕타임스 Travel의 알찬 여행 콘텐츠를 여행+에서 만나보세요 항공사들이 어린이 시장에 주목하고 있다. 장난감 있는 어린이용 키트를 선물로... 뉴욕 소재 여행사 스카이락 최고경영자(CEO) 폴 텀포스는  아이들이 행복하면 부모도 행복하다 며  이런 경험은 다음에 여행할 때 같은 항공사...
62,[여행 빅데이터] 대한 아시아나 누른 항공사 만족도 1위 어디?,"[여행 빅데이터] 대한 아시아나 누른 항공사 만족도 1위 어디? 안녕하세요. 여플(여행+) 장주영 에디터입니다. 여행, 특히 비행기를 타고 가는 여정 중 항공사 서비스의 좋고 나쁨은 여행의 질을 좌지우지 합니다. 좌석 간 앞뒤 또는 좌우 간격의 넓고 좁음부터 기내식의 맛, 승무원의 친절함 등..."
63,[여행 빅데이터] 대한 아시아나 이미지 하락에 뜬 항공사 어디?,[여행 빅데이터] 대한 아시아나 이미지 하락에 뜬 항공사 어디? 안녕하세요. 여플(여행+) 장주영 에디터입니다. 지난해 항공업계는 각종 논란으로 시끄러웠습니다. 특히 양대 국적항공사인 대한항공과 아시아나항공이 시련을 겪었죠. 호된 법적 조치와 언론보도에 많은 항공고객이 실망했고...
64,대한항공 스카이팀 회원사 및 제휴항공사 탑승하고 대한항공 마일리지 적립하기,"대한항공 스카이팀 회원사 및 제휴항공사 탑승하고 대한항공 마일리지 적립하기 에어로플로트 (러시아항공), 에어프랑스, 알이탈리아, 중화항공, 동방항공, 델타항공, 가루다인도네시아항공, KLM (네덜란드항공), 베트남항공, 하와이안항공, 남방항공 등을 탈 때 해당 항공사 마일리지프로그램을..."
65,세계에서 가장 안전한 항공사 .... 한국 항공사는 ?,호주의 항공 산업 전문 웹사이트 에어라인레이팅스(Airline Ratings)가 2019년 세계에서 가장 안전한 항공사로 호주 콴타스 항공을 선정했다. 에어라인레이팅스는 매년 세계의 400여개 항공사를 대상으로 항공사 안전도 평가 순위를 분석해 발표하고 있다. 에어라인레이팅스에 따르면 호주 콴타스...
66,전세계 국적 항공사 평가순위 대한항공 꼴찌에서 7번째,"정시운행률 랭킹   에게안   콴타스   카타르   에어몰타 `최악의 항공사 톱10`에 대한항공 이름 눈에띄네 여행족들이 늘 관심을 가지는 랭킹. 이번에는 최악항공사 랭킹입니다. 마침, 가장 신뢰를 가질 만한 국적기에 대한 랭킹 결과가 나온게 있습니다. 국적기 순위는 각국을..."
67,[팩트 체크] 세계에서 가장 시간을 잘 지키는 항공사는 어디?,가장 시간을 잘 지키는 항공사는 어디일까요? 글로벌 항공정보 제공업체인 OAG(Official Airline Guide)가 얼마 전에 흥미로운 자료를 발표했어요. 영국에 본사를 둔 이곳은 지난해 5천8백만 건의 항공기 운항 기록을 토대로 '2018년 항공사 및 공항 정시운항 평가(On-time performance results for...
68,"청주대 항공기계공학과, 대형 항공사 잇따라 합격","한국항공우주산업 아시아나항공   경험중심 인재 양성 효과 청주대학교 항공기계공학과 졸업생들이 대형 항공사에 잇따라 취업에 성공해... 오요한씨는 졸업 전 항공정비사면장을 취득했으며, 항공사에서 요구하는 토익성적을 확보하기 위해 최선을 다 했던 것으로 전해졌습니다. 김태형..."
69,"승무원면접 학원, 국내항공사 면접 1248과정 & 외항사 면접 148과정 론칭",맞춤 승무원면접 학원 강남 에이플러스 스피치학원 국내항공사 면접 1248과정 & 외항사 면접 148과정 론칭 공기업 및 대기업 면접 대비 프로그램을 전문으로 운영하는 강남 에이플러스 스피치학원에서 개별 맞춤 중심의 승무원면접 특별 프로그램을 론칭했습니다. 국내 항공사 승무원면접을...
